"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"HS4,HS7,HS6,HS5,HS10,HS9,HS8,HS3,HS1,HS2";"ATS_PCB1025";10;"~";;;
2;"C11,C2,C3,C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1u";;;
3;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100R";;;
4;"F2,F1";"FUSE_4527";2;"Fuse";;;
5;"T5,T2,T6,T7,T9,T3";"TO126AV";6;"BFQ262";;;
6;"D3,D4";"D_DO-201AD_P15.24mm_Horizontal";2;"1N5408";;;
7;"J2,J5,J1";"CONN_1984963";3;"1984963";;;
8;"J4";"LINX_CONSMA002-L";1;"CONSMA002-L";;;
9;"R22,R12,R21,R20";"RES_ALSR05_VIS";4;"47";;;
10;"T4,T12,T11,T10";"TO126AV";4;"BFQ252";;;
11;"D1";"SOD123_MCC-M";1;"1N4148W";;;
12;"TP6,TP4,TP7,TP5,TP3,TP2,TP1";"TestPoint_Pad_D1.0mm";7;"TestPoint";;;
13;"R31,R5,R30";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10";;;
14;"R1,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330";;;
15;"D2";"SOT-23_ONS";1;"BAT64";;;
16;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470p";;;
17;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22";;;
18;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"360";;;
19;"T8";"SOT23_NXP";1;"~";;;
20;"R18,R13,R19,R17,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"47";;;
21;"C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"0.1u";;;
22;"C4";"PPZC80003";1;"C_Trim";;;
23;"R10,R9";"RC2512N_VIS-M";2;"1k6";;;
24;"Q1";"SOT-23_ONS";1;"PNP";;;
25;"R11";"PWWR0016";1;"360";;;
26;"PCB1";"PCB_EC1U";1;"~EC1U";;;
27;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10k";;;
28;"R4,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"51";;;
29;"H1";"Pin_D1.4mm_L8.5mm_W2.8mm_FlatFork";1;"MountingHole_Pad";;;
30;"C6";"CAP_EEUED_125X25_PAN";1;"100u";;;
31;"R16";"POT_3296W";1;"R_Potentiometer_Trim";;;
32;"C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100u";;;
33;"T1";"SOT-223";1;"BFU590G";;;
34;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"160";;;
35;"Q2";"TRANS_BFP196E6327HTSA1_INF";1;"BFP196E6327HTSA1";;;
36;"J3";"CONN_73137-5003_MOL";1;"731375003";;;
37;"LOGO1";"LOGO_M";1;"~";;;
