Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.000000,-111.863000,-90.000000,top
"C2","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",110.670000,-115.900500,90.000000,top
"C3","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",116.000000,-102.825500,90.000000,top
"C4","C_Trim","PPZC80003",95.000000,-92.460000,180.000000,top
"C5","100u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",109.062500,-63.613000,180.000000,top
"C6","100u","CAP_EEUED_125X25_PAN",175.500000,-74.027850,-90.000000,top
"C7","0.1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",120.000000,-87.687500,90.000000,top
"C10","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.000000,-107.275500,90.000000,top
"C11","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.500000,-103.215891,-90.000000,top
"D1","1N4148W","SOD123_MCC-M",107.420000,-115.713000,90.000000,top
"D2","BAT64","SOT-23_ONS",113.797500,-87.034800,0.000000,top
"D3","1N5408","D_DO-201AD_P15.24mm_Horizontal",202.000000,-95.620000,90.000000,top
"D4","1N5408","D_DO-201AD_P15.24mm_Horizontal",113.380000,-59.000000,0.000000,top
"F1","Fuse","FUSE_4527",190.250000,-69.500000,90.000000,top
"F2","Fuse","FUSE_4527",144.000000,-61.000000,0.000000,top
"H1","MountingHole_Pad","Pin_D1.4mm_L8.5mm_W2.8mm_FlatFork",92.000000,-112.000000,0.000000,top
"HS1","~","ATS_PCB1025",127.300000,-111.022453,-90.000000,top
"HS2","~","ATS_PCB1025",127.300000,-93.613000,-90.000000,top
"HS3","~","ATS_PCB1025",189.795000,-110.613000,-90.000000,top
"HS4","~","ATS_PCB1025",189.795000,-93.613000,-90.000000,top
"HS5","~","ATS_PCB1025",174.795000,-93.613000,-90.000000,top
"HS6","~","ATS_PCB1025",174.795000,-110.613000,-90.000000,top
"HS7","~","ATS_PCB1025",158.445000,-93.613000,-90.000000,top
"HS8","~","ATS_PCB1025",158.445000,-110.613000,-90.000000,top
"HS9","~","ATS_PCB1025",143.445000,-93.613000,-90.000000,top
"HS10","~","ATS_PCB1025",143.445000,-110.613000,-90.000000,top
"J1","1984963","CONN_1984963",173.900001,-60.500000,180.000000,top
"J2","1984963","CONN_1984963",162.541600,-60.620600,180.000000,top
"J3","731375003","CONN_73137-5003_MOL",111.000000,-129.750000,180.000000,top
"J4","CONSMA002-L","LINX_CONSMA002-L",192.000000,-138.840000,0.000000,top
"J5","1984963","CONN_1984963",93.000000,-81.500000,-90.000000,top
"PCB1","~EC1U","PCB_EC1U",150.000000,-100.000000,0.000000,top
"Q1","PNP","SOT-23_ONS",103.000000,-112.613000,0.000000,top
"Q2","BFP196E6327HTSA1","TRANS_BFP196E6327HTSA1_INF",97.675000,-102.313000,-90.000000,top
"R1","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.750000,-111.863000,90.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.500000,-114.363000,-90.000000,top
"R3","47","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",183.000000,-90.363000,-90.000000,top
"R4","51","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.750000,-115.863000,90.000000,top
"R5","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.400000,-107.032891,90.000000,top
"R6","160","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",101.450000,-100.213000,90.000000,top
"R7","51","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.750000,-107.032891,-90.000000,top
"R8","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.000000,-107.113000,-90.000000,top
"R9","1k6","RC2512N_VIS-M",106.000000,-95.113000,180.000000,top
"R10","1k6","RC2512N_VIS-M",114.500000,-95.113000,180.000000,top
"R11","360","PWWR0016",135.800000,-77.113000,-90.000000,top
"R12","47","RES_ALSR05_VIS",155.000000,-129.000000,0.000000,top
"R13","47","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.000000,-95.363000,-90.000000,top
"R14","22","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.250000,-92.613000,-90.000000,top
"R15","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",94.000000,-124.000000,0.000000,top
"R16","R_Potentiometer_Trim","POT_3296W",91.700000,-119.000000,0.000000,top
"R17","47","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",167.000000,-90.363000,-90.000000,top
"R18","47","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.000000,-90.363000,-90.000000,top
"R19","47","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.000000,-90.363000,-90.000000,top
"R20","47","RES_ALSR05_VIS",155.000000,-139.000000,0.000000,top
"R21","47","RES_ALSR05_VIS",151.000000,-139.000000,180.000000,top
"R22","47","RES_ALSR05_VIS",151.000000,-129.000000,180.000000,top
"R23","360","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.250000,-70.150001,-90.000000,top
"R30","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.000000,-99.363000,180.000000,top
"R31","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.000000,-113.113000,-90.000000,top
"T1","BFU590G","SOT-223",110.060000,-105.565891,-90.000000,top
"T2","BFQ262","TO126AV",124.500000,-110.613000,90.000000,top
"T3","BFQ262","TO126AV",124.500000,-93.613000,90.000000,top
"T4","BFQ252","TO126AV",186.750000,-110.613000,90.000000,top
"T5","BFQ262","TO126AV",186.750000,-93.613000,90.000000,top
"T6","BFQ262","TO126AV",171.750000,-93.613000,90.000000,top
"T7","BFQ262","TO126AV",155.500000,-93.613000,90.000000,top
"T8","~","SOT23_NXP",116.750000,-108.613000,90.000000,top
"T9","BFQ262","TO126AV",140.500000,-93.613000,90.000000,top
"T10","BFQ252","TO126AV",171.750000,-110.613000,90.000000,top
"T11","BFQ252","TO126AV",155.500000,-110.613000,90.000000,top
"T12","BFQ252","TO126AV",140.500000,-110.613000,90.000000,top
